entity,relation,entity2
农作物,包含,紫穗槐
克螨灵 吡虫啉,防治,红蜘蛛
菊科,科,葵
桃褐腐病,感染,黄桃
河蟹肠炎病,属于,动物疾病
疫霉根腐病,属于,农作物病害
球虫病,属于,动物疾病
害虫,包含,甘蓝夜蛾
助壮素,防治,小果症
芹菜,感染,叶斑病
木通,属于,农作物
破伤风,属于,动物疾病
动物,包含,禽
杨柳树,属于,农作物
牧草,属于,农作物
苯醚甲环唑,属于,农作物药物
鱼,属于,鱼类
杀菌剂,属于,农作物药物
保树胶,属于,农作物药物
多效唑,防治,大豆皱缩花叶病
球虫药,属于,畜牧业药物
白鲢夏花,属于,动物
农作物,包含,彩色玫瑰
甲基硫菌灵,防治,白粉病
农作物,包含,油菜
荷兰猪,别名,豚鼠
产蛋鸡,属于,动物
水疱,属于,动物疾病
杀虫剂,属于,灭蚜威
氨水,属于,农作物药物
动物,包含,秋刀鱼
耳螨,属于,害虫
必杀螟,属于,农作物药物
向日葵,被危害,甲虫
害虫,包含,黑刺粉虱
百菌清可湿性粉剂,防治,蛇眼病
蚕卵,属于,动物
红斑,别名,赤星病
苏云金杆菌,防治,夜蛾类
弯曲瓜,属于,农作物
鸡蛋,属于,动物
罗非鱼指环虫病,属于,动物疾病
溃疡病,属于,农作物病害
罗氏沼虾,属于,动物
附子,属于,畜牧业药物
害虫,包含,蒙古灰象甲
害虫,包含,玉米螟
农作物,包含,豆角
玉米,感染,玉米大斑病
免疫学,属于,灭活疫苗
筋腐病,属于,农作物病害
草食家禽,属于,动物
辣椒疫霉,属于,农作物虫害
中药,包含,狼尾草
甲霜灵锰锌,防治,灰霉病
无籽西瓜,属于,农作物
茄科,科,彩椒
黄瓜,被危害,菜青虫
七叶树,属于,农作物
中药,包含,鲈鱼
扬粳4038,属于,农作物
农作物,包含,蒲公英
果树,属于,农作物
满园花子,属于,萝卜芽
夹螟,属于,农作物虫害
菌核净,属于,农作物药物
电解质钠,属于,畜牧业药物
草本,属于,农作物
动物,包含,貉
甲基托布津可湿性粉剂,防治,叶斑病
鸡蛋清,属于,畜牧业药物
糖尿病,属于,动物疾病
农作物,包含,蟹爪兰
传染性支气管炎病,属于,动物疾病
小猿叶虫,属于,农作物虫害
百菌清,防治,白粉病
喜林芋类花卉,属于,水培花卉
百菌清可湿性粉剂,防治,叶枯病
萝卜,属于,莱菔子
疾病,包含,茶云纹叶枯病
三月红,属于,农作物
疮痂病,别名,梨黑星病
凤梨,属于,农作物
魏氏梭菌病,属于,动物疾病
代森铵,属于,农作物药物
农作物,包含,西兰花
慈姑,属于,农作物
疾病,包含,传染性鼻炎
来福灵,属于,农作物药物
宁粳3号,属于,早熟晚粳稻
果树落叶蝉,属于,农作物虫害
动物,包含,林麝
免疫佐剂,属于,畜牧业药物
竹类,属于,刚竹
已烯雌酚,属于,畜牧业药物
熟地黄,属于,畜牧业药物
半边疯,属于,农作物病害
农作物,包含,抱卵虾
草药,属于,畜牧业药物
黑刺粉虱,属于,农作物虫害
胡椒,属于,畜牧业药物
老鼠,属于,害虫
动物,包含,罗氏沼虾
草青岭,属于,农作物虫害
害虫,包含,指环虫属
头孢噻呋钠,属于,畜牧业药物
棉花,被危害,盲蝽象
害虫,包含,虻
多菌灵,防治,褐斑病
化学药品,包含,硫酸卡那霉素
二溴海因,属于,畜牧业药物
动物,包含,豚鼠
花卉,包含,四季海棠
豆饼毒饵,防治,蝼蛄
高渗葡萄糖注射液,属于,畜牧业药物
乌鳢,别名,生鱼
干旱,属于,农作物病害
黄豆,防治,老虎害虫
中药,包含,贝母
浚单20,属于,玉米
银边吊兰,属于,农作物
疾病,包含,败血症
蛆,属于,动物
池底清,属于,农作物药物
农作物,包含,木炭
楔形变带绦虫病,属于,动物疾病
疾病,包含,菌核病
红蜘蛛,属于,农作物虫害
去甲肾上腺素,属于,畜牧业药物
骡,属于,动物
糜子,属于,农作物
农作物,包含,燕子掌
疾病,包含,水霉病
白菜,感染,细菌性软腐病
粉锈宁,属于,农作物药物
大豆,感染,花叶病
紫色长茄,属于,长茄
易感鸡,属于,动物
氟吗啉,属于,农作物药物
农作物,包含,海带
幼畜,属于,动物
萝卜,被危害,蚜虫
害虫,包含,烟蚜
马铃薯,防治,锐劲特
茶,包含,黄金桂
三唑酮,属于,农作物药物
蜀桧大树,属于,树
动物,包含,羊
波氏杆菌病,属于,动物疾病
代森锰锌,防治,病毒病
四季萝卜,属于,蔬菜
农作物,包含,婆婆纳
香果,别名,川芎
巴波疫苗,属于,畜牧业药物
花叶病,属于,农作物病害
中药,包含,壁虎
农作物,包含,过江藤
麦叶蜂,属于,农作物病害
绿菜宝,属于,农作物药物
对虾,属于,动物
复硝酚钠水剂,防治,细菌性病害
菊科,科,阿坝蒿
中药,包含,焦白术
甲霜铜,属于,农作物药物
农作物,包含,苦参
农作物,包含,紫甘蓝
大青萝卜,属于,农作物
茶饼,属于,畜牧业药物
草莓,感染,蛇眼病
海杂鱼,属于,动物
白肌病,属于,动物疾病
禾本科,科,狗牙根
病菌,属于,农作物病害
农作物,包含,朱顶红
甜玉米,属于,农作物
昆虫,包含,玉米螟
炭疽福美可湿性粉剂,防治,苹果炭疽病
梨锈病,属于,农作物病害
金银花,属于,农作物
恐水病,属于,动物疾病
金心吊兰,属于,吊兰
微生物,包含,金霉素
害虫,包含,黑翅土白蚁
疾病,包含,农药中毒
动物,包含,白鲢
青黑喙鸡,属于,动物
纹枯病,防治,恶霉灵
香石竹,属于,农作物
地榆炭,属于,畜牧业药物
甲基托布津,属于,农作物药物
脐腐病,属于,农作物病害
三唑酮可湿性粉剂,防治,锈病
真菌,包含,白色念珠菌
护树将军,防治,冻害
炭疽福美可湿性粉剂,防治,苹果轮纹病
纤维素性心包炎,属于,动物疾病
中药,包含,香果
中药,包含,华山松
褐色斑,属于,农作物病害
铁沙掌,防治,蚜虫
农作物,包含,菜心
火麻仁,属于,畜牧业药物
果腐病,属于,农作物病害
多菌灵,防治,苹果炭疽病
农作物,包含,棉籽
白毛病,别名,肤霉病
农作物,感染,疫病
草鳊,别名,鳊
猪瘟,属于,动物疾病
枣果,被危害,绿盲蝽
微生物,包含,有益菌
冻害,属于,农作物病害
麦蚜,属于,农作物病害
农作物,感染,梨黑星病
锈病,属于,农作物病害
草莓,感染,白粉病
小麦,被危害,麦蚜
冬春小白菜,属于,农作物
水霉病,属于,动物疾病
霉 锰锌可湿性粉剂,防治,叶斑病
菲醌,属于,农作物药物
中华绒螯蟹,别名,大闸蟹
农作物,包含,小扁豆
野荞麦根,属于,畜牧业药物
桃蚜,别名,烟蚜
杀虫精,属于,畜牧业药物
树桩盆景,别名,盆景树桩
普力克,防治,疫病
螨净乳油,防治,锈虫虱
可杀得,防治,细菌性软腐病
公母鸡,属于,动物
软腐病,属于,农作物病害
白砂糖,别名,白糖
假单孢杆菌,属于,农作物虫害
囊病宁,属于,畜牧业药物
山楂,感染,梨锈病
豆粕,属于,农作物
花卉,属于,农作物
京津1号,属于,西瓜
高效氯氰菊酯乳油,属于,农作物药物
杏,属于,农作物
真菌,包含,大肠杆菌
烂皮病,属于,农作物病害
野狗,属于,动物
疾病,包含,毛细线虫病
害虫,包含,瓢虫
蚕蛹,属于,动物
稻,包含,连粳7号
鸡虱,属于,害虫
番茄,感染,白粉病
菌净,属于,畜牧业药物
假桄榔,别名,鱼尾葵
圆蓝五肽,属于,畜牧业药物
动物,包含,蜻蜓
菇菌清,属于,农作物药物
农作物,包含,广玉兰
中药,属于,畜牧业药物
乔木,包含,桂花树
银鲑,属于,动物
鳖,别名,山瑞鳖
疾病,防治,去甲肾上腺素
穿心红,属于,萝卜芽
拉稀,属于,动物疾病
鳕科鱼,属于,动物
青芦笋,属于,芦笋
动物,包含,蜂王
碧护,防治,花脸病
敌杀死,防治,红蜘蛛
猪,感染,猪流行性感冒
可杀得,属于,农作物药物
卷叶蛾,属于,农作物虫害
瓜皮,属于,农作物
草莓,被危害,蛴螬
甜椒,属于,辣椒
桑,被危害,桑尺蠖
呼吸道疾病,属于,动物疾病
马铃薯,属于,农作物
中药,包含,野艾
农作物,包含,草药
磺胺类药,属于,畜牧业药物
红叶小檗,属于,农作物
肝脓病,属于,动物疾病
甲哌鎓化控,属于,农作物药物
成年鹅,属于,动物
甲醛水剂,属于,农作物药物
黄脂病,属于,动物疾病
蜀桧大树,属于,农作物
大豆,感染,霜霉病
微生物,包含,滑子蘑
疾病,包含,血糖
硫丹,防治,绿盲蝽
棉田,属于,农作物
梨,感染,梨黑星病
波尔多液,属于,农作物虫害
害虫,包含,粘虫
甲虫,属于,农作物虫害
呼吸道线虫病,属于,动物疾病
皮肤病,属于,动物疾病
花卉,包含,茶花
陈皮,属于,畜牧业药物
发财树,属于,农作物
玄参,属于,害虫
三棱,属于,农作物
农作物,包含,博落回
瓜类,属于,农作物
腺胃肥大,属于,动物疾病
农作物,包含,番木瓜
快灵,防治,桃小食心虫
胡荽,属于,农作物
穿心连,属于,畜牧业药物
凤尾草,属于,畜牧业药物
核桃,属于,农作物
农作物,包含,刺槐
中药,包含,香荽
农作物,包含,干姜
农作物,包含,金心吊兰
野鸡,别名,雉鸡
禾本科,科,禾本科杂草
棉花,防治,锐劲特
兔病,属于,动物疾病
菜籽,属于,农作物
农作物,包含,荷兰豆
青年禽,属于,动物
螺蛳,属于,动物
磺胺类药物,属于,畜牧业药物
农作物,包含,大花惠兰
农作物,包含,山荆子
乙磷铝可湿性粉剂,防治,软腐病
中药,包含,药饵
蒜,属于,蔬菜
冬植蔗,属于,农作物
水稻,防治,锐劲特
豇豆,感染,煤霉病
底质改良剂,属于,畜牧业药物
害虫,包含,桃蚜
片形吸虫,属于,害虫
君子兰,属于,年宵花
小白菜,属于,农作物
蜂,属于,动物
真菌,病原,赤星病
农作物,包含,水芹
敌可松,防治,丹参根腐病
花生,被危害,蛴螬
灭虫乳油,属于,农作物药物
丝瓜,感染,炭疽病
农作物,包含,洋葱
农作物,防治,草木灰
夏秋美浓,属于,农作物
阿克泰,属于,农作物药物
晶体敌百虫,防治,葱蓟马
乙磷铝锰锌,属于,农作物药物
农作物,包含,水草
小白菜,被危害,夜蛾类
甲鱼,别名,山瑞鳖
抗氧化剂,属于,畜牧业药物
农作物,包含,大枣
杂交水稻,属于,农作物
蝇毒磷,属于,畜牧业药物
真菌,导致,茄子绵疫病
桃树,属于,果园
根肿病,属于,农作物病害
宁南霉素水剂,属于,农作物药物
子兔,属于,动物
硫酸卡那霉素,属于,畜牧业药物
农作物,包含,雀稗
苜蓿,别名,紫花苜蓿
农作物,包含,京白梨
害虫,包含,绦虫
肌肉注射维生素B1,属于,畜牧业药物
夜蛾,属于,农作物虫害
茶,属于,农作物
藕,感染,褐斑病
氧化乐果,属于,农作物药物
桃褐腐病,属于,农作物病害
农作物,感染,花叶病
玉树,别名,景天树
豆科,科,豌豆芽
烟株,属于,农作物
果林,属于,农作物
微生物,包含,抗菌
梅花斑状病,属于,动物疾病
半边莲,属于,畜牧业药物
美人蕉,属于,农作物
麝香石竹,别名,康乃馨
疾病,包含,肾上腺素
病毒A,属于,农作物药物
新诺明,属于,畜牧业药物
疾病,包含,传染性法氏囊病
盐酸环丙沙星,属于,农作物药物
动物,感染,轮状病毒
黄豆,防治,蚜虫
成虫,属于,农作物虫害
菊科,科,油葵
家兔,属于,动物
菌丹,属于,农作物药物
御丹,属于,农作物药物
广木香,属于,畜牧业药物
茶叶,属于,黄金桂
杂粮,属于,农作物
动物,包含,黄花鱼
瓜苗,属于,西瓜
甲基托布津,防治,猝倒病
微生物,包含,鸡油菌
甜椒,属于,农作物
甲基立枯磷乳油,属于,农作物药物
山茶,属于,农作物
稻叶,属于,农作物
中药,包含,阿胶
蜀桧大树,别名,蜀桧
动物,包含,微孢子虫
丁香,属于,畜牧业药物
甲霜灵锰锌,防治,疫病
疾病,包含,急性病
安克锰锌可湿性粉剂,防治,茄子绵疫病
磺胺,属于,畜牧业药物
熏烟剂,防治,细菌性病害
微生物,包含,氰
克霜氰,属于,农作物药物
农作物,包含,秋子梨
金橘,属于,农作物
潜叶蛾,被危害,黄桃
丰产灵,防治,软腐病
芹菜,感染,软腐病
中药材,属于,农作物
鹿,属于,动物
化学药品,包含,维生素D3
有棱丝瓜,属于,丝瓜
鸭瘟疫苗,属于,畜牧业药物
病鸡,属于,畜牧业药物
花卉,包含,葫芦科
鲢鱼,属于,动物
速扑杂乳油,防治,黑刺粉虱
中药,包含,良姜
农作物,包含,甜菜
兔瘟疫苗,属于,畜牧业药物
琥胶肥酸铜可湿性粉剂,防治,叶枯病
玉米,属于,杂粮
猪繁殖与呼吸综合症,属于,动物疾病
番薯,属于,红薯
大粒型,属于,草菇
真菌,病原,向日葵褐斑病
害虫,包含,天牛
高锰酸钾,别名,消毒剂
咪鲜,属于,农作物药物
苏梗,属于,畜牧业药物
毒死蜱,防治,大造桥虫
新梢黄化症,属于,农作物病害
害虫,包含,豆蚜
肠炎病,属于,动物疾病
浆液性关节炎,属于,动物疾病
蜗牛,属于,农作物虫害
芦笋,被危害,斜纹夜盗蛾
鳜鱼苗,属于,动物
害虫,包含,线虫
疾病,包含,传染性法氏囊炎
农作物,包含,淡竹
草菇,属于,农作物
苏云金杆菌,属于,农作物药物
溴氰菊脂,防治,菜青虫
柑,属于,农作物
亩旺特,属于,农作物药物
辣椒幼苗,属于,蔬菜
新高脂膜,防治,病菌
动物,包含,鲫
支气管肺炎,属于,动物疾病
酒精,属于,畜牧业药物
真菌,包含,黑曲霉
农作物,包含,水生农作物
防盗蜂,属于,动物
硫菌 霉威可湿性粉剂,防治,病害
敌杀死,防治,顶梢卷叶虫
烟根,属于,农作物
真菌,包含,真菌病
棉铃虫,属于,农作物虫害
剑带绦虫,属于,害虫
焦白术,属于,畜牧业药物
果树,感染,金纹细蛾
葱蝇,属于,农作物虫害
多菌灵可湿性粉剂,防治,大蒜白腐病
长寿花,属于,花卉
辣椒,感染,病毒病
盲蝽,属于,农作物虫害
鞘翅目,目,蒙古灰象甲
番薯,别名,甘薯
粉掌,属于,农作物
疾病,包含,指环虫病
褐斑病叶面病,属于,农作物病害
缺窝老苗,属于,农作物病害
农作物,包含,苋科
薯类,属于,农作物
苦木,属于,畜牧业药物
茴香,属于,畜牧业药物
胡萝卜,被危害,蒙古灰象甲
百会穴,属于,畜牧业药物
农作物,包含,含羞草
杂交水稻,属于,水稻
果园,属于,农作物
蝇,属于,害虫
癞蛤蟆,别名,蟾蜍
肉鸭,属于,动物
禾本科,科,披碱草
流感病毒,防治,病毒灵
农作物,包含,猪殃殃
农作物,包含,茅草根
藻类,属于,农作物
害虫,包含,绿孔雀
中药,包含,硼砂
腐烂病,属于,农作物病害
伤风感冒,属于,动物疾病
瑞毒霉粉剂,属于,农作物药物
农作物,感染,霜霉病
枯萎性,属于,农作物病害
硼砂,属于,农作物药物
农作物,包含,陈皮
害虫,包含,美国白蛾
丁硫克百威,属于,农作物药物
稻,包含,籼稻
月季,属于,农作物
大蒜,感染,病菌
晚稻,属于,水稻
棉花,属于,棉籽
妙效肠安,属于,畜牧业药物
马,感染,沙门氏菌病
微生物,包含,盲蝽
健胃制剂,属于,畜牧业药物
辣椒,属于,农作物
万寿菊,属于,花卉
细菌性败血病,属于,动物疾病
中药,包含,麻油
莱菔子,属于,畜牧业药物
稻叶,属于,水稻
向日葵,被危害,蚜虫
香附子,别名,香附
农作物,包含,干草
多菌灵可湿性粉剂,防治,小斑病
南美白对虾病,属于,动物疾病
桃,属于,碧桃
虾体,属于,动物
消毒灵,属于,畜牧业药物
可湿性粉剂,属于,农作物药物
桐树,属于,农作物
蚜虱净,防治,红蜘蛛
农作物细胞分裂素,属于,农作物药物
虱,属于,害虫
土鸡,别名,草鸡
三乙磷酸铝,属于,农作物药物
农作物,包含,马醉木
农作物,包含,八仙花
卵黄抗体,属于,畜牧业药物
叶蝉,被危害,黑肩绿盲蝽
硼酸水,属于,畜牧业药物
茄科,科,黑果枸杞
辛乳油,防治,桑尺蠖
南瓜子,属于,畜牧业药物
平小卷叶虫,属于,农作物虫害
潜叶蛾,属于,农作物虫害
杜鹃,属于,农作物
稻,包含,武运粳24号
萝卜,感染,霜霉病
农作物,包含,木耳菜
害虫,包含,毛头鬼伞
鸭传染性浆膜炎,别名,鸭疫巴氏杆菌病
鱼尾葵属,属于,鱼尾葵
海芋,属于,花木
坏死性肠炎,属于,动物疾病
防风,属于,畜牧业药物
肛门淋,属于,动物疾病
南粳44,属于,早熟晚粳稻
豇豆,被危害,豇豆荚螟
猕猴桃,感染,腐烂病菌
鲜切花,属于,农作物
农作物,包含,棕榈科
雌鱼,属于,动物
茄科,科,尖椒
丝瓜,感染,细菌性软腐病
仔母兔,属于,动物
农作物,包含,青岛架豆
羊狂蝇蛆病,属于,动物疾病
细菌性软腐病,属于,农作物病害
病毒类肠道疾病肠炎病,属于,动物疾病
动物,包含,鲮
动物,包含,鸭苗
经产牛,属于,动物
农作物,包含,苗木
肠炎等,属于,动物疾病
草莓,包含,重茬
痒螨,属于,害虫
蔓荆子,属于,农作物
杀菌剂,包含,精甲霜灵
维多利,属于,畜牧业药物
青皮,属于,畜牧业药物
农用链霉素,属于,农作物药物
农作物药物,防治,农作物虫害
快灵,防治,绿盲蝽
天牛,属于,农作物虫害
三角鲂,属于,动物
花卉,包含,白掌
三苯甲咪唑,别名,克霉唑
动物,包含,土鸡
中药,包含,灵芝草
西兰花,属于,农作物
水仙花,属于,农作物
徒长菌丝,属于,农作物
动物,包含,沙蚕
中药,包含,亚麻
贡选1号,属于,农作物
动物,包含,鳗鲡
抗生素,防治,细菌性病害
疾病,包含,癞
苋科,科,莲子草
小麦,被危害,灰飞虱
棚菜,属于,农作物
缓冲液,属于,畜牧业药物
犬布鲁氏菌病,属于,动物疾病
果树,感染,小卷叶蛾
腈菌唑乳油,防治,霜霉病
碳酸氢钠,属于,畜牧业药物
寄生瓜果疫霉,属于,农作物虫害
黄瓜,被危害,白粉虱
穿心莲,属于,畜牧业药物
三角鲂,属于,生物
山毛豆,属于,农作物
害虫,包含,根瘤蚜
石榴树,被危害,锈壁虱
夏花鱼种,属于,动物
农用硫酸链霉素可溶性粉剂,防治,菌核病
动物,包含,鳊鱼
中药,包含,野豌豆属
咪唑王,属于,畜牧业药物
蜜香红茶,属于,农作物
淡水鱼,感染,烂尾病
湿泡病,属于,农作物病害
左旋咪唑,属于,畜牧业药物
菇丰,属于,农作物药物
嘧霉胺,属于,农作物药物
地下害虫,属于,农作物虫害
香石竹,别名,麝香石竹
小茨藻,属于,农作物
蔷薇科,科,富士苹果
甘蓝夜蛾,属于,农作物虫害
瓜蔓,属于,农作物
农作物,包含,马鞭草
农作物,包含,黄刺玫
鳙鱼,属于,动物
羊只,属于,动物
吡虫啉杀虫剂,防治,白粉虱
农作物,包含,桐树
营养,属于,脂肪
吡蚜酮悬浮剂,属于,农作物药物
花菇,属于,农作物
幼仔兔,属于,动物
第二茬瓜,属于,西瓜
家鱼,属于,动物
桑,被危害,桑螟
甘草绿豆汤,属于,畜牧业药物
农作物,包含,苹
蔬菜,属于,农作物
农作物,包含,苦皮藤
甲维盐,防治,小菜蛾
农作物,包含,升麻
真菌,包含,草菇
糙米,属于,农作物
鲜毛茛全草,属于,畜牧业药物
米兰,属于,农作物
辛硫磷乳油,防治,玉米蓟
隐形乳房炎,属于,动物疾病
乐斯本,防治,夜蛾
马齿菜,属于,农作物
大葱锈病,属于,农作物病害
农作物,包含,侧柏叶
烂蹄,属于,动物疾病
蒙古灰象甲,属于,农作物虫害
南方大口鲶,属于,动物
雪松,属于,乔木和花灌木类
萝卜属,属于,青萝卜
非洲鲫鱼,属于,动物
桅子,属于,农作物
波斯猫,属于,动物
农作物,包含,土牛膝
动物,包含,草鱼
甲基托布津,防治,赤霉病
中药,包含,鸭儿芹
中药禽菌灵,属于,畜牧业药物
害虫,包含,半滑舌鳎
潍春白1号,属于,农作物
立枯病,防治,恶霉灵
肠炎型出血病,属于,动物疾病
水滴病,属于,农作物病害
农作物,包含,烤烟
杀病毒药剂,防治,叶片黄化
母兔,属于,动物
疾病,包含,溃疡
绿纱,属于,农作物
黄芪粉,属于,畜牧业药物
弯瓜,属于,农作物
山楂,属于,畜牧业药物
杨梅,被危害,梨小食心虫
苹果酸,属于,畜牧业药物
光合细菌,属于,农作物药物
中药,包含,麝香
花卉,包含,翠菊
香石竹,别名,康乃馨
百草一号,防治,夜蛾
鱼类,包含,秋刀鱼
黄瓜,感染,绵腐病
动物,包含,环节动物
敌克松可湿性粉剂,防治,水稻立枯病
蚜科,科,蚜虫
甲霜灵锰锌,防治,霜霉病
马唐,属于,农作物
害虫,包含,舞毒蛾
疾病,包含,维生素B6
肉牛,属于,动物
农作物,包含,康乃馨
中药,包含,生石膏
加州873,属于,农作物
鸡只,属于,动物
农作物,包含,栎树
勒杜鹃,属于,农作物
害虫,包含,蚜虫
含羞草料,属于,农作物
中药,包含,蛇床
蛛形纲,纲,螨虫
农作物,包含,郁金香
双甲脒,属于,畜牧业药物
银柴胡,属于,畜牧业药物
螨,属于,农作物虫害
传染性鼻炎,属于,动物疾病
大白菜,被危害,夜蛾
向日葵,感染,细菌性叶斑病
大白菜,包含,北京小杂56号
青年鹅,属于,动物
鱼腥草,属于,畜牧业药物
桃蛀螟,属于,农作物虫害
恶病质,属于,动物疾病
豆科,科,豆类
枯黄萎病,属于,农作物病害
中药,包含,铁线莲
多菌灵可湿性粉剂,防治,苹果轮纹病
姜瘟,属于,农作物病害
疾病,包含,片形吸虫病
糯米糍,属于,农作物
农作物,包含,水柳
草鱼四病灵,属于,畜牧业药物
螨类,属于,农作物虫害
瓜类蔬菜,属于,蔬菜
烟蚜,属于,农作物虫害
茎,感染,青枯病
农作物,包含,菜苜蓿
活性炭,属于,畜牧业药物
鱼类,感染,肠炎病
野公猪,属于,动物
中药,包含,水蜈蚣
农作物,包含,红树莓
毒,属于,农作物药物
萝卜,感染,病毒病
克螨特,防治,红蜘蛛
农用链霉素可湿性粉剂,防治,菜蚜
疫病,属于,动物疾病
烟蚜,危害,农作物
化学药品,包含,胃蛋白酶
华支睾吸虫病,属于,动物疾病
鱼尾葵,属于,农作物
马拉巴栗,别名,发财树
锈壁虱,属于,农作物虫害
害虫,包含,星天牛
棘头虫,属于,害虫
纯白色君子兰,属于,君子兰
尿素液,属于,农作物药物
小叶病,感染,苹果
子幼兔,属于,动物
消化道病,属于,动物疾病
动物,包含,鲜鱼
家畜,属于,害虫
害虫,包含,菲醌
甲霜灵锰锌,防治,早疫病
沙丁鱼,属于,动物
败血性传染病,别名,鸭瘟
蕉苗,属于,农作物
景龙宝,属于,农作物
农作物,包含,金樱子
鲫鱼夏花,属于,动物
鼠伤寒沙门氏菌,属于,生物
谷子,属于,农作物
金雷多米尔,防治,疫病
银杏挂果树,属于,银杏
灭幼脲,属于,农作物药物
杀虫剂,属于,高效氯氟氰菊酯
草鱼夏花,属于,动物
农作物,包含,棉
毒死蜱乳油,属于,农作物药物
板栗树,属于,农作物
西瓜皮,属于,西瓜
蛋鸡,属于,动物
猪,包含,家猪
腹泻,属于,动物疾病
农作物,包含,蔗
杀菌剂,包含,福美双
农作物,包含,碧桃
李,属于,农作物
杨柳,属于,农作物
萝卜,属于,农作物
疾病,包含,酮症
害虫,包含,矢尖蚧
毒鱼,属于,动物
集琦虫螨克,防治,蚜虫
农作物,包含,白毛
农作物,包含,茶花
杀虫剂,防治,蚜虫
农作物,包含,大豆
西兰花,被危害,菜蚜
疾病,包含,慢性腹膜炎
龙芽草,属于,畜牧业药物
核桃,别名,核桃树
商品鱼,属于,动物
西瓜,被危害,白粉虱
西药,属于,畜牧业药物
青岛架豆,属于,农作物
西红柿,感染,髓坏死
鼻炎,属于,动物疾病
香葱,感染,灰霉病
聊玉18号,属于,玉米
鲮鱼,属于,动物
花椰菜,属于,农作物
丝瓜,感染,猝倒病
农作物,包含,郁李仁
中药,包含,韭菜
盐酸环丙沙星,防治,桑疫病
豆科,科,葛根
西瓜,感染,茎枯病
果树,属于,果园
春夏大白菜,属于,农作物
姬松茸,属于,农作物
杀螟松乳油,属于,农作物药物
十字花科,科,青萝卜
艾德,属于,畜牧业药物
一季稻,属于,农作物
甲基托布津可湿性粉剂,防治,锈病
农作物,包含,茉莉属
动物,包含,鹄
微生物,属于,食用菌
甲基托布津,防治,霜霉病
发烧病,属于,动物疾病
烂口病,属于,动物疾病
烯禾啶机油乳油,属于,农作物药物
真菌,包含,胡桃肉状菌
小青菜,属于,农作物
香葱,感染,紫斑病
桂皮,属于,畜牧业药物
中药,包含,海参
农作物,包含,石竹花
茄科,科,烟叶
粉锈宁,防治,锈病
细菌,包含,地衣芽孢杆菌
农作物,包含,榆叶梅
动物,包含,胆碱
农作物,包含,过路黄
微生物,包含,害虫
桂花,属于,花卉
蟹病,属于,动物疾病
农作物,包含,消毒药
桑蓟马,危害,农作物
马齿苋,属于,农作物
柑桔,被危害,天牛
动物鱼肥,属于,畜牧业药物
康乃馨,属于,多年生草本花卉
白皮病,属于,动物疾病
红痢病,属于,动物疾病
苋科,科,牛膝
黑树莓,属于,农作物
疾病,包含,猪气喘病
动物,包含,青虾
混百菌清,防治,晚疫病
禽类脂肪肝综合征,属于,动物疾病
子宫炎,属于,动物疾病
火鸡,属于,动物
病原体,属于,动物疾病
保桑灵,防治,桑毛虫
农作物药物,包含,西维因
疾病,包含,黄尿病
动物,包含,鲍鱼
代森锰锌可湿性粉剂,防治,软腐病
动物,包含,生猪
枫杨,属于,农作物
多西环素,属于,畜牧业药物
克螨特,防治,螨类
树桩盆景,属于,农作物
农作物,包含,丹草
农作物,包含,辣椒疫霉
百菌清烟剂,防治,叶斑病
伤鱼,属于,动物
阿维菌素,防治,蚜虫
新高脂膜,防治,菜蚜
甲基托布津,别名,甲基硫菌灵
白玉春,属于,农作物
芦笋,被危害,蛴螬
疾病,包含,伤寒
大葱,属于,农作物
毒死蜱微囊悬浮剂,属于,农作物药物
蔬菜,包含,大白菜
升霜霉威盐酸盐水剂,属于,农作物药物
萝卜,被危害,斑潜蝇
绿爽,属于,农作物药物
南豆12,属于,农作物
蔷薇科,科,金樱子
皮肤感染,属于,动物疾病
敌杀死,防治,卷叶蛾
化学药品,属于,畜牧业药物
中草药,包含,贯众
公牛,属于,动物
中猪,属于,动物
害虫,包含,茶翅蝽
肌苷,属于,畜牧业药物
烤烟,感染,野火病
农作物,包含,鲁单9002
红叶小檗,属于,小灌木类
中药,包含,鳙鱼
农作物,包含,夏白45
野鸡,别名,雉
吡虫啉可湿性粉剂,防治,金针虫
升霜霉威盐酸盐水剂,防治,疫病
代森铵溶液,防治,炭疽病
疾病,包含,羊鼻蝇蛆病
酸性磷酸钠,属于,畜牧业药物
杀灭菊脂,防治,菜螟
中药,包含,藕
灭螨净乳油,属于,农作物药物
细菌,包含,芽孢杆菌
农作物,包含,寒兰
青蚕豆,属于,农作物
疾病,包含,慢性消耗性疾病
灭活苗,属于,畜牧业药物
沟鲶,属于,动物
疾病,包含,霍乱
防蚜药剂,属于,农作物药物
磺胺嘧啶,属于,畜牧业药物
种蝇,属于,农作物虫害
黄连,属于,畜牧业药物
疾病,包含,咽喉炎
化学药品,包含,利血平
中药,包含,灰菜
痢疾拉血,属于,动物疾病
罗非鱼,属于,动物
中药,包含,银边吊兰
甲基托布津可湿性粉剂,防治,蛇眼病
中药,包含,桑白皮
丹参,感染,丹参根腐病
急性败血性传染病,属于,动物疾病
农作物,包含,木犀草
大牛,属于,动物
鱼尾葵属,属于,农作物
鳞翅目细卷蛾科害虫,属于,农作物虫害
越夏彩椒,属于,彩椒
农作物,包含,火棘
中药,包含,鸡油菌
片形吸虫病,属于,动物疾病
板栗象鼻虫,属于,农作物虫害
